sku,sales_unit_price,cost
BHC9335BR,500.0,375.0
BHC9336BM,500.0,375.0
BHC9337GP,500.0,375.0
BHC9338GR,500.0,375.0
BHC9320YB,500.0,375.0
BHC9321RY,500.0,375.0
BHC9323PG,500.0,375.0
BHC9325BR,500.0,375.0
BHC9326BM,500.0,375.0
BHC9327GP,500.0,375.0
BHC9328GR,500.0,375.0
BHC89230GY,500.0,375.0
BHC89232BR,500.0,375.0
BHC89233BR,500.0,375.0
BHC89234BG,500.0,375.0
BHC89235G,500.0,375.0
BHC89237BG,500.0,375.0
FWD9921WYT,600.0,450.0
FWD9921,550.0,412.5
FWD9922,550.0,412.5
FWD9923,550.0,412.5
BHC100,33.0,24.75
BHC110,35.0,26.25
BHC120,36.0,27.0
BHC173,34.0,25.5
BHC150,36.0,27.0
BHC151,36.0,27.0
BHC153,36.0,27.0
BHC201,55.0,41.25
BHC205,55.0,41.25
BHC216,55.0,41.25
BHC219,55.0,41.25
BHC223,55.0,41.25
BHC225,55.0,41.25
BHC235,55.0,41.25
BHC249,55.0,41.25
BHC300,55.0,41.25
BHC306,55.0,41.25
BHC362,55.0,41.25
BHC500,52.0,39.0
BHC502,52.0,39.0
BHC504,52.0,39.0
BHC505,52.0,39.0
BHC508,52.0,39.0
BHC510,52.0,39.0
BHC520,52.0,39.0
BHC522,52.0,39.0
BHC533,52.0,39.0
BHC535,52.0,39.0
BHC5020,52.0,39.0
BHC5022,52.0,39.0
BHC5024,52.0,39.0
BHC5302,52.0,39.0
BHC6600,150.0,112.5
BHC6600RG,150.0,112.5
BHC6607,150.0,112.5
BHC6607H,150.0,112.5
BHC6607AH,150.0,112.5
BHC6608,150.0,112.5
BHC6609,150.0,112.5
BHC6609H,150.0,112.5
BHC6611,120.0,90.0
BHC6643,200.0,150.0
BHC6643A,200.0,150.0
BHC6643C,200.0,150.0
BHC6643D,200.0,150.0
BHC6650,200.0,150.0
BHC6654,200.0,150.0
BHC6664,120.0,90.0
BHC6666,150.0,112.5
BHC6665A,120.0,90.0
BHC6665AH,120.0,90.0
BHC84010,150.0,112.5
BHC8410,160.0,120.0
BHC8413,180.0,135.0
BHC8416,120.0,90.0
BHC8417,120.0,90.0
BHC84417,120.0,90.0
BHC8447,120.0,90.0
BHC8426,135.0,101.25
BHC8429,110.0,82.5
BHC8434,135.0,101.25
BHC8439,150.0,112.5
BHC8805,100.0,75.0
BHC8819,170.0,127.5
BHC8824,120.0,90.0
BHC8830,120.0,90.0
BHC8833,180.0,135.0
BHC8690,100.0,75.0
BHC48215AS,430.0,322.5
BHC48315AS,470.0,352.5
BHC6001H,45.0,33.75
BHC6002H,45.0,33.75
BHC6003H,49.0,36.75
BHC6006H,45.0,33.75
BHC6018TH,49.0,36.75
BHC6153,45.0,33.75
BHC6163,45.0,33.75
BHC6810AH,68.0,51.0
BHC6201H,72.0,54.0
BHC6205H,72.0,54.0
BHC6216H,72.0,54.0
BHC6219H,72.0,54.0
BHC6225H,72.0,54.0
BHC6235H,72.0,54.0
BHC6881H,72.0,54.0
BHC6882H,72.0,54.0
BHC6883H,72.0,54.0
BHC6884H,72.0,54.0
BHC6885H,72.0,54.0
BHC6300H,72.0,54.0
BHC6300TH,85.0,63.75
BHC6302H,72.0,54.0
BHC6303H,72.0,54.0
BHC6304H,72.0,54.0
BHC6306H,72.0,54.0
BHC6307H,72.0,54.0
BHC6351H,72.0,54.0
BHC6353H,72.0,54.0
BHC6355H,72.0,54.0
BHC6500H,65.0,48.75
BHC6502H,65.0,48.75
BHC6504H,65.0,48.75
BHC6505H,65.0,48.75
BHC6508H,65.0,48.75
BHC6510H,65.0,48.75
BHC6520H,65.0,48.75
BHC6522H,65.0,48.75
BHC6524H,65.0,48.75
BHC6530H,65.0,48.75
BHC6532H,65.0,48.75
BHC6534H,65.0,48.75
BHC6535H,65.0,48.75
BHC6820H,85.0,63.75
BHC6830H,85.0,63.75
BHC6840H,85.0,63.75
BHC6850H,85.0,63.75
BHC6860H,85.0,63.75
BHC7322H,85.0,63.75
BHC7305H,75.0,56.25
BHC7351H,75.0,56.25
BHC7353H,75.0,56.25
BHC7354,75.0,56.25
BHC7365H,85.0,63.75
BHC7331H,120.0,90.0
BHC8205,130.0,97.5
BHC8216H,130.0,97.5
BHC8224H,130.0,97.5
BHC8235H,130.0,97.5
BHC8502H,130.0,97.5
BHC8503H,130.0,97.5
BHC8301,75.0,56.25
BHC6511,38.0,28.5
BHC6512,38.0,28.5
BHC6514,38.0,28.5
BHC2615,72.0,54.0
BHC2625,72.0,54.0
BHC2011,72.0,54.0
BHC6249,72.0,54.0
BHC7356H,72.0,54.0
BHC8832,72.0,54.0
BHC6550,72.0,54.0
BHC62011,80.0,60.0
BHC6221,75.0,56.25
BHC6231,75.0,56.25
BHC5880,200.0,150.0
BHC5881,300.0,225.0
BHC5882,300.0,225.0
BHC5883,300.0,225.0
BHC5884,300.0,225.0
BHC5885,300.0,225.0
BHC5800,200.0,150.0
BHC5801,300.0,225.0
BHC5802,300.0,225.0
BHC5803,300.0,225.0
BHC5804,300.0,225.0
BHC5805,300.0,225.0
BHC5806,360.0,270.0
BHC5810,200.0,150.0
BHC5811,300.0,225.0
BHC5812,300.0,225.0
BHC5813,300.0,225.0
BHC5814,300.0,225.0
BHC5815,300.0,225.0
BHC5830A,200.0,150.0
BHC5830B,200.0,150.0
BHC5870A,180.0,135.0
BHC5870B,180.0,135.0
BHC5870C,180.0,135.0
BHC5870D,180.0,135.0
BHC5871A,280.0,210.0
BHC5872A,280.0,210.0
BHC5873A,280.0,210.0
BHC5874A,280.0,210.0
BHC5841G,430.0,322.5
BHC5842G,430.0,322.5
BHC5843G,430.0,322.5
BHC5844G,430.0,322.5
BHC5845G,430.0,322.5
BHC9810A,100.0,75.0
BHC9810B,100.0,75.0
BHC9810C,100.0,75.0
BHC9810D,75.0,56.25
BHC9805A,265.0,198.75
BHC9805B,265.0,198.75
BHC9805C,265.0,198.75
BHC9815C,265.0,198.75
BHC9825C,265.0,198.75
BHC9815B,265.0,198.75
BHC9220YBTH,220.0,165.0
BHC9221RGH,220.0,165.0
BHC9223PYTH,220.0,165.0
BHC9224BOH,220.0,165.0
BHC9225BMTH,220.0,165.0
BHC9227GOH,220.0,165.0
BHC9230YBH,220.0,165.0
BHC9232MGH,220.0,165.0
BHC9233POH,220.0,165.0
BHC9234BOH,220.0,165.0
BHC9235BVH,220.0,165.0
BHC9237GRH,220.0,165.0
BHC9275BOH,220.0,165.0
BHC5518,75.0,56.25
BHC5528,75.0,56.25
BHC816C,130.0,97.5
BHC819C,130.0,97.5
BHC11401C,150.0,112.5
BHC11402C,150.0,112.5
BHC48215C,200.0,150.0
BHC48315C,200.0,150.0
BHC48316C,200.0,150.0
BHC48323C,200.0,150.0
BHC48515C,200.0,150.0
BHC48305PB,120.0,90.0
BHC48325PB,120.0,90.0
BHC48350PB,120.0,90.0
FWD103SW,80.0,60.0
FWD111SW,80.0,60.0
FWD205SW,110.0,82.5
FWD215SW,110.0,82.5
FWD219SW,110.0,82.5
FWD225SW,110.0,82.5
FWD235SW,110.0,82.5
FWD306SW,110.0,82.5
FWD504SW,110.0,82.5
FWD522SW,110.0,82.5
FWD5516SW,135.0,101.25
FWD5518SW,135.0,101.25
FWD8503SW,220.0,165.0
FWD8173SW,120.0,90.0
FWD6002SW,90.0,67.5
FWD8221SW,160.0,120.0
