SKU,target_month,predicted_qty,mae,rmse,mape,model_version,trained_at
BHC150,2025-12,0.0,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC150,2026-01,17.4,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC150,2026-02,7.94,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC150,2026-03,24.77,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC150,2026-04,30.26,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC150,2026-05,10.38,26.94,35.23,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2025-12,217.84,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2026-01,153.64,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2026-02,329.12,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2026-03,415.5,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2026-04,564.62,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC151,2026-05,375.22,91.74,128.97,0.7987,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2025-12,2675.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2026-01,129.34,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2026-02,896.12,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2026-03,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2026-04,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC152,2026-05,0.0,,,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC153,2025-12,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC153,2026-01,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC153,2026-02,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC153,2026-03,0.0,18.44,30.09,0.4437,lgbm-v1,2026-04-11T02:53:17.769190Z
