SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD249,23100761,758.95,0.0,0.0,50.0,708.95,708.95,325.0,4B-1,708.95,0,,2025-01
FWD249A,23112460,125.0,0.0,0.0,0.0,125.0,125.0,,2E-1,125.0,0,,2025-01
FWD249,24050661,431.0,0.0,0.0,0.0,431.0,431.0,,2F-4,431.0,0,,2025-01
FWD216,24111863,3370.1,0.0,0.0,80.0,3290.1,3290.1,0.0,2B-4,3290.1,0,,2025-01
FWD216K,24043060,1028.13,0.0,0.0,350.0,678.13,678.13,,4A-3,678.13,0,2个零头,2025-01
FWD216Y,24070260,682.0,0.0,0.0,0.0,682.0,682.0,0.0,2B-2,682.0,0,,2025-01
FWD217,18011860,274.5,0.0,0.0,0.0,274.5,274.5,250.0,2B-3,274.5,0,,2025-01
FWD299,23082163,534.0,0.0,0.0,0.0,534.0,534.0,,2E-1,534.0,0,,2025-01
FWD289,23091661,272.0,0.0,0.0,75.0,197.0,197.0,43.0,2D-1,197.0,0,,2025-01
FWD1289,16122660,768.44,0.0,0.0,0.0,768.44,768.44,,B-1,768.44,0,,2025-01
FWD300,24111961,4900.0,0.0,0.0,0.0,4900.0,15640.0,2000.0,3B-4,4900.0,0,,2025-01
FWD300,24111961,6000.0,0.0,0.0,0.0,6000.0,,,3A-1,6000.0,0,,2025-01
FWD300,24111961,5765.0,0.0,0.0,1925.0,3840.0,,,3B-3,3840.0,0,,2025-01
FWD300,24111961,900.0,0.0,0.0,0.0,900.0,,,2B-1,900.0,0,,2025-01
FWD300B,24052961,2438.0,0.0,0.0,300.0,2138.0,2138.0,0.0,3A-1,2138.0,0,,2025-01
FWD300S,21072760,300.0,0.0,0.0,0.0,300.0,300.0,0.0,2E-2,300.0,0,,2025-01
FWD300Y,24082860,840.0,0.0,0.0,0.0,840.0,840.0,0.0,3B-4,840.0,0,,2025-01
FWD301,24070962,2500.0,0.0,0.0,50.0,2450.0,2450.0,324.0,4B-2,2450.0,0,,2025-01
FWD303,23122860,2.0,0.0,0.0,0.0,2.0,7072.75,2000.0,D-2,2.0,0,,2025-01
FWD303,24070661,3724.75,0.0,0.0,454.0,3270.75,,,2G-7,3270.75,0,,2025-01
FWD303,24070661,3850.0,0.0,0.0,50.0,3800.0,,,2G-6,3800.0,0,,2025-01
FWD303,23120860,642.0,0.0,0.0,150.0,492.0,492.0,,4B-4,492.0,0,,2025-01
FWD303Y,19072761,250.0,0.0,0.0,0.0,250.0,250.0,0.0,2D-1,250.0,0,,2025-01
FWD304K,23042662,423.7,0.0,0.0,0.0,423.7,423.7,,3B-3,423.7,0,,2025-01
FWD305,24071960,4050.0,0.0,0.0,0.0,4050.0,4431.8,1309.0,2E-1,4050.0,0,,2025-01
FWD305,24071960,1466.8,0.0,0.0,1085.0,381.8,,,2G-8,381.8,0,,2025-01
FWD305S,24112960,4882.0,0.0,0.0,500.0,4382.0,4382.0,0.0,2G-6,4382.0,0,,2025-01
FWD305Y,19072762,172.0,0.0,0.0,0.0,172.0,172.0,0.0,2E-1,172.0,0,,2025-01
FWD306,24120560,6662.0,0.0,0.0,675.0,5987.0,17887.0,1500.0,2F-4,5987.0,0,,2025-01
FWD306,24120560,12000.0,0.0,0.0,100.0,11900.0,,,2G-4,11900.0,0,,2025-01
FWD306,24110862,3.0,0.0,0.0,0.0,3.0,3.0,,D-2,3.0,0,,2025-01
FWD306C,24103060,648.8,0.0,0.0,0.0,648.8,648.8,,A-2,648.8,0,纸袋装,2025-01
FWD306B,23101063,800.0,0.0,0.0,300.0,500.0,4139.0,,2G-6,500.0,0,,2025-01
FWD306B,24060460,4939.0,0.0,0.0,1300.0,3639.0,,,2C-4,3639.0,0,,2025-01
FWD306S,24121160,3125.0,0.0,0.0,0.0,3125.0,3125.0,,4C-2,3125.0,0,,2025-01
FWD307,23121962,1925.0,0.0,0.0,300.0,1625.0,8184.0,1000.0,3A-2,1625.0,0,,2025-01
FWD307,24122060,6562.0,0.0,0.0,3.0,6559.0,,,2B-4,6559.0,0,,2025-01
FWD307B,24072260,2675.0,0.0,0.0,400.0,2275.0,2275.0,0.0,2F-2,2275.0,0,,2025-01
FWD307Y,24091460,884.0,0.0,0.0,0.0,884.0,884.0,0.0,2E-2,884.0,0,,2025-01
FWD3307A,24040862,2600.0,0.0,0.0,300.0,2300.0,2300.0,500.0,2C-2,2300.0,0,,2025-01
FWD308,23122861,1452.8,0.0,0.0,182.0,1270.8,1270.8,500.0,2C-2,1270.8,0,,2025-01
FWD302,24041960,25.0,0.0,0.0,25.0,0.0,15710.0,2000.0,,0.0,0,,2025-01
FWD302,24102863,5218.5,0.0,0.0,1090.0,4128.5,,,4C-2,4128.5,0,,2025-01
FWD302,24102863,11641.5,0.0,0.0,60.0,11581.5,,,4D-3,11581.5,0,,2025-01
FWD3302,24082960,1613.5,0.0,0.0,108.5,1505.0,1505.0,127.0,2E-2,1505.0,0,,2025-01
FWD323,24110162,5872.95,0.0,0.0,3100.0,2772.95,2772.95,1000.0,4C-3,2772.95,0,2个零头,2025-01
FWD323,24111262,694.0,0.0,0.0,0.0,694.0,694.0,,2E-1,694.0,0,,2025-01
FWD323Y,24111263,368.0,0.0,0.0,0.0,368.0,368.0,,2C-1,368.0,0,,2025-01
FWD320,24070960,3045.0,0.0,0.0,2485.0,560.0,560.0,1000.0,2G-4,560.0,0,,2025-01
FWD320K,24040162,2550.0,0.0,0.0,0.0,2550.0,2550.0,,2C-3,2550.0,0,,2025-01
FWD322,25010260,0.0,7689.0,0.0,1000.0,6689.0,6689.0,0.0,4A-2,6689.0,0,,2025-01
FWD322,24110460,8.0,0.0,8.0,0.0,0.0,,,,0.0,0,,2025-01
FWD325,24110560,5967.95,0.0,0.0,605.0,5362.95,9059.95,439.0,2C-2,5362.95,0,,2025-01
FWD325,24110560,4322.0,0.0,0.0,625.0,3697.0,,,2D-2,3697.0,0,,2025-01
FWD351,24120960,4304.0,0.0,0.0,125.0,4179.0,4179.0,500.0,2E-2,4179.0,0,,2025-01
FWD351Y,24111362,1128.0,0.0,0.0,200.0,928.0,928.0,0.0,2C-1,928.0,0,,2025-01
FWD353,23120460,500.0,0.0,0.0,75.0,425.0,5213.0,500.0,2B-3,425.0,0,,2025-01
FWD353,24121660,4790.0,0.0,0.0,2.0,4788.0,,,2D-2,4788.0,0,,2025-01
FWD353Y,24111662,1681.0,0.0,0.0,250.0,1431.0,1431.0,0.0,2F-1,1431.0,0,,2025-01
FWD355,24122362,3551.0,0.0,0.0,400.0,3151.0,3151.0,500.0,2C-4,3151.0,0,,2025-01
FWD355Y,21062361,675.0,0.0,0.0,0.0,675.0,675.0,,3A-1,675.0,0,,2025-01
FWD330,21050560,374.1,0.0,0.0,0.0,374.1,374.1,,2C-2,374.1,0,,2025-01
FWD361,21042260,1879.0,0.0,0.0,0.0,1879.0,1879.0,,3A-2,1879.0,0,,2025-01
FWD362,16061460,74.95,0.0,0.0,55.0,19.95,40.25,,2C2-D2,19.95,0,,2025-01
