SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD301,24070962,2450.0,0.0,0.0,0.0,2450.0,2450.0,324.0,4B-2,2450.0,0,,2025-02
FWD303,23122860,2.0,0.0,0.0,0.0,2.0,6422.75,2000.0,D-2,2.0,0,,2025-02
FWD303,24070661,3270.75,0.0,0.0,475.0,2795.75,,,2G-7,2795.75,0,,2025-02
FWD303,24070661,3800.0,0.0,0.0,175.0,3625.0,,,2G-6,3625.0,0,,2025-02
FWD303,23120860,492.0,0.0,0.0,0.0,492.0,492.0,,4B-4,492.0,0,,2025-02
FWD303Y,19072761,250.0,0.0,0.0,0.0,250.0,250.0,0.0,2D-1,250.0,0,,2025-02
FWD304K,23042662,423.7,0.0,0.0,0.0,423.7,423.7,,3B-3,423.7,0,,2025-02
FWD305,24071960,4050.0,0.0,0.0,200.0,3850.0,4231.8,1000.0,2E-1,3850.0,0,,2025-02
FWD305,24071960,381.8,0.0,0.0,0.0,381.8,,,2G-8,381.8,0,,2025-02
FWD305S,24112960,4382.0,0.0,0.0,600.0,3782.0,3782.0,0.0,2G-6,3782.0,0,,2025-02
FWD305Y,19072762,172.0,0.0,0.0,0.0,172.0,172.0,0.0,2E-1,172.0,0,,2025-02
FWD306,24120560,5887.0,0.0,0.0,1555.0,4332.0,16232.0,1500.0,2F-4,4332.0,0,,2025-02
FWD306,24120560,12000.0,0.0,0.0,100.0,11900.0,,,2G-4,11900.0,0,,2025-02
FWD306,24110862,3.0,0.0,0.0,0.0,3.0,3.0,,D-2,3.0,0,,2025-02
FWD306C,24103060,648.8,0.0,0.0,0.0,648.8,648.8,,A-2,648.8,0,纸袋装,2025-02
FWD306B,23101063,500.0,0.0,0.0,0.0,500.0,4139.0,,2G-6,500.0,0,,2025-02
FWD306B,24060460,3639.0,0.0,0.0,0.0,3639.0,,,2C-4,3639.0,0,,2025-02
FWD306S,24121160,3125.0,0.0,0.0,0.0,3125.0,3125.0,,4C-2,3125.0,0,,2025-02
FWD307,23121962,1625.0,0.0,0.0,300.0,1325.0,7884.0,1000.0,3A-2,1325.0,0,,2025-02
FWD307,24122060,6559.0,0.0,0.0,0.0,6559.0,,,2B-4,6559.0,0,,2025-02
FWD307B,24072260,2275.0,0.0,0.0,200.0,2075.0,2075.0,0.0,2F-2,2075.0,0,,2025-02
FWD307Y,24091460,884.0,0.0,0.0,0.0,884.0,884.0,0.0,2E-2,884.0,0,,2025-02
