sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
BHC8437,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8439,,112.5,150,缺品类
BHC8439AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8439S,,0,,缺品类 / 缺成本 / 缺销售单价
BHC84417,,90,120,缺品类
BHC84417AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8447,,90,120,缺品类
BHC8447AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC850-R1,,0,,缺品类 / 缺成本 / 缺销售单价
BHC850-R2,,0,,缺品类 / 缺成本 / 缺销售单价
BHC850-R3,,0,,缺品类 / 缺成本 / 缺销售单价
BHC850-W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8503H,,97.5,130,缺品类
BHC8690,,75,100,缺品类
BHC8690AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC870-W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8805,,75,100,缺品类
BHC8805AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8805S,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8819,,127.5,170,缺品类
BHC8819AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8824,,90,120,缺品类
BHC8824AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8830,,90,120,缺品类
BHC8832,,54,72,缺品类
BHC8833,,135,180,缺品类
BHC9220YBTH,,165,220,缺品类
BHC9221RGH,,165,220,缺品类
BHC9223PYTH,,165,220,缺品类
BHC9224BOH,,165,220,缺品类
BHC925-R1,,0,,缺品类 / 缺成本 / 缺销售单价
BHC925-R4,,0,,缺品类 / 缺成本 / 缺销售单价
BHC925-W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC9330YB,,375,500,缺品类
BHC9331RY,,375,500,缺品类
BHC9332MY,,375,500,缺品类
BHC9333PG,,375,500,缺品类
BHC9335BR,,375,500,缺品类
BHC9336BM,,375,500,缺品类
BHC950-R1,,0,,缺品类 / 缺成本 / 缺销售单价
